------------------- | ----- | ----- | ---- | --- | --- | ---- | -------- | -------- | --------------------- | ------------------ | ------------------ | ---------- | ------------ | ------------------ | ---------- | ----------- | --------- | ------------- | ----------------- | ---------- | ---------------- | ------------- | -------------- | ---------- | ------------- | -------------------- | --------------- | -------------------
nick                | games | hours | mins | w   | l   | w/l  | rpm/game | HRP/game | most-ballcarries/game | most-balltime/game | most-nearball/game | goals/game | assists/game | goals+assists/game | saves/game | spawns/game | kills/min | teamkills/min | teamkills/kills % | deaths/min | kills-deaths/min | ballkills/min | balldeaths/min | steals/min | turnovers/min | steals-turnovers/min | ballcarries/min | nick               
------------------- | ----- | ----- | ---- | --- | --- | ---- | -------- | -------- | --------------------- | ------------------ | ------------------ | ---------- | ------------ | ------------------ | ---------- | ----------- | --------- | ------------- | ----------------- | ---------- | ---------------- | ------------- | -------------- | ---------- | ------------- | -------------------- | --------------- | -------------------
a mirror            |    65 |  15.7 |  940 |  35 |  30 | 1.17 |     6.52 |    13.8% |                  9.2% |              12.3% |               7.7% |       1.09 |         1.25 |               2.34 |       0.74 |        1.23 |      1.32 |          0.08 |              6.0% |       1.36 |            -0.04 |          0.21 |           0.14 |       0.29 |          0.26 |                 0.03 |            1.41 | a mirror           
afri                |   240 |  51.1 | 3064 | 144 |  96 | 1.50 |     6.93 |    21.7% |                 32.9% |              19.2% |              35.8% |       1.80 |         1.23 |               3.03 |       0.63 |        1.52 |      1.08 |          0.04 |              4.1% |       1.52 |            -0.44 |          0.17 |           0.16 |       0.32 |          0.33 |                -0.02 |            1.80 | afri               
antialiasing        |    81 |  17.0 | 1017 |  38 |  43 | 0.88 |     4.51 |     1.2% |                  8.6% |               4.9% |               9.9% |       0.48 |         1.06 |               1.54 |       0.54 |        0.85 |      0.68 |          0.05 |              8.0% |       1.05 |            -0.38 |          0.13 |           0.13 |       0.24 |          0.30 |                -0.05 |            1.18 | antialiasing       
captor              |   144 |  33.7 | 2021 |  83 |  61 | 1.36 |     6.50 |    16.0% |                 18.8% |              22.9% |              27.8% |       1.14 |         1.47 |               2.60 |       0.70 |        1.43 |      1.32 |          0.06 |              4.5% |       1.59 |            -0.27 |          0.19 |           0.23 |       0.31 |          0.35 |                -0.04 |            1.49 | captor             
ccruler             |   229 |  49.9 | 2993 | 102 | 127 | 0.80 |     5.33 |     4.4% |                  3.9% |               0.9% |               3.1% |       0.81 |         0.92 |               1.72 |       1.32 |        0.76 |      1.03 |          0.03 |              2.9% |       1.15 |            -0.12 |          0.12 |           0.16 |       0.18 |          0.20 |                -0.02 |            1.15 | ccruler            
dookey              |   142 |  32.0 | 1917 |  84 |  58 | 1.45 |     7.80 |    31.7% |                 48.6% |              23.9% |              41.5% |       1.54 |         1.47 |               3.01 |       0.62 |        1.70 |      1.25 |          0.04 |              3.4% |       1.45 |            -0.20 |          0.18 |           0.20 |       0.40 |          0.34 |                 0.06 |            1.82 | dookey             
gigamonster         |   100 |  21.0 | 1259 |  48 |  52 | 0.92 |     6.36 |    19.0% |                 15.0% |               7.0% |              14.0% |       0.61 |         1.28 |               1.89 |       0.63 |        1.14 |      1.22 |          0.04 |              3.4% |       1.11 |             0.11 |          0.14 |           0.11 |       0.27 |          0.18 |                 0.08 |            1.38 | gigamonster        
grunt               |    18 |   3.4 |  205 |   4 |  14 | 0.29 |     2.09 |     0.0% |                  0.0% |               0.0% |               0.0% |       0.06 |         0.33 |               0.39 |       0.22 |        0.06 |      0.56 |          0.02 |              4.3% |       0.77 |            -0.21 |          0.05 |           0.10 |       0.17 |          0.20 |                -0.03 |            0.51 | grunt              
gunishment          |   120 |  26.5 | 1590 |  69 |  51 | 1.35 |     7.82 |    35.8% |                 49.2% |              51.7% |              26.7% |       1.96 |         1.32 |               3.27 |       1.38 |        1.02 |      1.09 |          0.06 |              5.1% |       1.17 |            -0.08 |          0.18 |           0.21 |       0.29 |          0.31 |                -0.02 |            1.98 | gunishment         
lemonaire           |    82 |  17.7 | 1061 |  44 |  38 | 1.16 |     6.46 |    15.9% |                 12.2% |              12.2% |              17.1% |       1.05 |         1.00 |               2.05 |       0.07 |        1.51 |      1.53 |          0.12 |              7.6% |       1.09 |             0.44 |          0.12 |           0.12 |       0.21 |          0.20 |                 0.01 |            1.30 | lemonaire          
mercury             |   294 |  64.8 | 3887 | 155 | 139 | 1.12 |     6.96 |    22.4% |                 28.2% |              41.2% |              24.5% |       1.14 |         1.50 |               2.64 |       0.16 |        1.00 |      1.22 |          0.07 |              6.1% |       1.26 |            -0.04 |          0.17 |           0.17 |       0.37 |          0.33 |                 0.05 |            1.68 | mercury            
mongoose            |    30 |   6.0 |  361 |   9 |  21 | 0.43 |     4.44 |     0.0% |                  0.0% |               0.0% |               0.0% |       0.60 |         0.40 |               1.00 |       0.13 |        0.70 |      1.10 |          0.08 |              7.0% |       1.59 |            -0.49 |          0.13 |           0.24 |       0.27 |          0.25 |                 0.01 |            1.07 | mongoose           
nabakatsu           |   161 |  33.9 | 2033 |  61 | 100 | 0.61 |     4.48 |     3.1% |                  2.5% |               0.0% |               1.2% |       0.43 |         0.89 |               1.32 |       0.47 |        1.02 |      1.15 |          0.08 |              6.8% |       1.31 |            -0.16 |          0.13 |           0.07 |       0.22 |          0.22 |                 0.01 |            1.10 | nabakatsu          
nemesis             |   187 |  40.4 | 2422 |  89 |  98 | 0.91 |     5.04 |     1.1% |                  2.1% |               0.5% |               1.1% |       0.55 |         1.05 |               1.60 |       0.34 |        1.49 |      1.19 |          0.08 |              6.8% |       1.23 |            -0.04 |          0.15 |           0.12 |       0.22 |          0.22 |                -0.01 |            1.24 | nemesis            
nin9                |    13 |   2.9 |  171 |   8 |   5 | 1.60 |     2.95 |     0.0% |                  0.0% |               0.0% |               0.0% |       0.15 |         0.54 |               0.69 |       0.31 |        0.38 |      0.89 |          0.08 |              9.2% |       1.29 |            -0.41 |          0.09 |           0.09 |       0.15 |          0.12 |                 0.03 |            0.55 | nin9               
no one can kill me  |   430 |  92.5 | 5549 | 245 | 185 | 1.32 |     6.02 |     6.0% |                  9.3% |               1.6% |               2.8% |       1.28 |         0.98 |               2.27 |       1.31 |        1.01 |      1.10 |          0.09 |              8.1% |       1.14 |            -0.04 |          0.18 |           0.15 |       0.21 |          0.26 |                -0.05 |            1.35 | no one can kill me 
northstar           |    49 |  10.4 |  624 |  16 |  33 | 0.48 |     3.00 |     0.0% |                  0.0% |               0.0% |               0.0% |       0.37 |         0.41 |               0.78 |       0.53 |        0.59 |      0.61 |          0.05 |              8.6% |       0.67 |            -0.06 |          0.05 |           0.12 |       0.12 |          0.16 |                -0.04 |            0.75 | northstar          
pallone1            |   162 |  35.5 | 2132 |  82 |  80 | 1.02 |     6.25 |    14.2% |                 11.7% |              11.7% |              18.5% |       0.94 |         1.31 |               2.26 |       0.36 |        0.99 |      1.17 |          0.04 |              3.6% |       1.40 |            -0.23 |          0.15 |           0.17 |       0.32 |          0.30 |                 0.02 |            1.42 | pallone1           
peabrain            |   178 |  43.1 | 2585 |  98 |  80 | 1.23 |     5.18 |     1.1% |                  0.6% |               0.0% |               0.6% |       0.84 |         1.19 |               2.02 |       0.66 |        0.52 |      1.23 |          0.09 |              7.0% |       1.28 |            -0.05 |          0.16 |           0.13 |       0.23 |          0.19 |                 0.03 |            1.13 | peabrain           
richardlax          |    95 |  19.9 | 1191 |  61 |  34 | 1.79 |     7.64 |    24.2% |                 28.4% |              13.7% |              29.5% |       1.73 |         1.28 |               3.01 |       0.85 |        1.59 |      1.31 |          0.08 |              6.4% |       1.44 |            -0.13 |          0.17 |           0.19 |       0.27 |          0.28 |                -0.01 |            1.71 | richardlax         
